,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2018,550,740,40,.427,Hart,Hart,Anderson,Fitzgerald,Arians,10,2,0,1,9
Chicago Cardinals,1920,1943,99,141,21,.413,,,,,,0,1,0,0,1
Chi/Pit Cards/Steelers,1944,1944,0,10,0,.000,,,,,,0,0,0,0,0
Chicago Cardinals,1945,1959,66,107,4,.382,,,,,,2,1,0,0,2
St. Louis Cardinals,1960,1987,186,202,14,.480,,,,,,3,0,0,0,2
Phoenix Cardinals,1988,1993,32,64,0,.333,,,,,,0,0,0,0,0
Arizona Cardinals,1994,2018,167,216,1,.436,,,,,,5,0,0,1,4
Atlanta Falcons,1966,2018,351,443,6,.442,Ryan,Ryan,Riggs,White,Smith,14,0,0,2,8
Baltimore Ravens,1996,2018,190,161,1,.541,Lewis,Flacco,Lewis,Mason,Harbaugh,10,2,2,2,5
Buffalo Bills,1960,2018,409,467,8,.467,Smith,Kelly,Thomas,Reed,Levy,18,2,0,4,12
Carolina Panthers,1995,2018,183,184,1,.499,Smith,Newton,Stewart,Smith,Fox,8,0,0,2,7
Chicago Bears,1920,2018,749,579,42,.564,Payton,Cutler,Payton,Morris,Halas,25,9,1,2,24
Decatur Staleys,1920,1920,10,1,2,.909,,,,,,0,0,0,0,0
Chicago Staleys,1921,1921,9,1,1,.900,,,,,,0,1,0,0,1
Chicago Bears,1922,2018,730,577,39,.558,,,,,,25,8,1,2,23
Cincinnati Bengals,1968,2018,351,417,4,.457,Munoz,Anderson,Dillon,Johnson,Lewis,14,0,0,2,11
Cleveland Browns,1946,2018,509,486,13,.512,Matthews,Sipe,Brown,Newsome,Brown,28,8,0,0,24
Dallas Cowboys,1960,2018,502,374,6,.573,Smith,Romo,Smith,Witten,Landry,32,5,5,8,24
Denver Broncos,1960,2018,470,404,10,.538,Elway,Elway,Davis,Smith,Shanahan,22,3,3,8,16
Detroit Lions,1930,2018,553,648,32,.461,Sanders,Stafford,Sanders,Johnson,Fontes,17,4,0,0,9
Portsmouth Spartans,1930,1933,28,16,7,.636,,,,,,0,0,0,0,0
Detroit Lions,1934,2018,525,632,25,.454,,,,,,17,4,0,0,9
Green Bay Packers,1921,2018,737,562,37,.567,Favre,Favre,Green,Driver,Lambeau,32,13,4,5,29
Houston Texans,2002,2018,110,146,0,.430,Johnson,Schaub,Foster,Johnson,Kubiak,4,0,0,0,5
Indianapolis Colts,1953,2018,506,453,7,.528,Manning,Manning,James,Harrison,Dungy,27,4,2,4,22
Baltimore Colts,1953,1983,222,194,7,.534,,,,,,10,3,1,2,10
Indianapolis Colts,1984,2018,284,259,0,.523,,,,,,17,1,1,2,12
Jacksonville Jaguars,1995,2018,165,203,0,.448,Smith,Brunell,Taylor,Smith,Coughlin,7,0,0,0,4
Kansas City Chiefs,1960,2018,457,415,12,.524,Shields,Dawson,Charles,Gonzalez,Stram,20,2,1,2,12
Dallas Texans,1960,1962,25,17,0,.595,,,,,,1,1,0,0,1
Kansas City Chiefs,1963,2018,432,398,12,.520,,,,,,19,1,1,2,11
Los Angeles Chargers,1960,2018,435,438,11,.498,Rivers,Rivers,Tomlinson,Gates,Gillman,18,1,0,1,16
Los Angeles Chargers,1960,1960,10,4,0,.714,,,,,,1,0,0,0,1
San Diego Chargers,1961,2016,416,427,11,.493,,,,,,17,1,0,1,14
Los Angeles Chargers,2017,2018,9,7,0,.563,,,,,,,,0,,1
Los Angeles Rams,1937,2018,555,559,21,.498,Olsen,Everett,Jackson,Bruce,Robinson,28,3,1,3,22
Cleveland Rams,1937,1945,34,50,2,.405,,,,,,1,1,0,0,2
Los Angeles Rams,1946,1994,364,299,18,.549,,,,,,21,1,0,1,15
St. Louis Rams,1995,2015,142,193,1,.424,,,,,,5,1,1,2,3
Los Angeles Rams,2016,2018,15,17,0,.469,,,,,,1,0,0,0,2
Miami Dolphins,1966,2018,445,351,4,.559,Marino,Marino,Csonka,Duper,Shula,23,2,2,5,15
Minnesota Vikings,1961,2018,470,390,10,.546,Eller,Tarkenton,Peterson,Carter,Grant,29,0,0,4,21
New England Patriots,1960,2018,489,386,9,.559,Brady,Brady,Cunningham,Morgan,Belichick,25,5,5,10,21
Boston Patriots,1960,1970,65,80,9,.448,,,,,,1,0,0,0,1
New England Patriots,1971,2018,424,306,0,.581,,,,,,24,5,5,10,20
New Orleans Saints,1967,2018,349,432,5,.447,Brees,Brees,McAllister,Colston,Payton,11,1,1,1,7
New York Giants,1925,2018,687,585,33,.540,Taylor,Manning,Barber,Toomer,Owen,32,8,4,5,26
New York Jets,1960,2018,397,479,8,.453,Maynard,Namath,Martin,Maynard,Ewbank,14,1,1,1,5
New York Titans,1960,1962,19,23,0,.452,,,,,,0,0,0,0,0
New York Jets,1963,2018,378,456,8,.453,,,,,,14,1,1,1,5
Oakland Raiders,1960,2018,462,411,11,.529,Otto,Stabler,Allen,Brown,Madden,22,3,3,5,17
Oakland Raiders,1960,1981,195,110,11,.638,,,,,,11,2,2,3,9
Los Angeles Raiders,1982,1994,118,82,0,.590,,,,,,7,1,1,1,4
Oakland Raiders,1995,2018,149,219,0,.405,,,,,,4,0,0,1,4
Philadelphia Eagles,1933,2018,568,594,26,.489,White,McNabb,McCoy,Carmichael,Reid,25,4,1,3,15
Philadelphia Eagles,1933,1942,23,82,4,.219,,,,,,0,0,0,0,0
Phi/Pit Eagles/Steelers,1943,1943,5,4,1,.556,,,,,,0,0,0,0,0
Philadelphia Eagles,1944,2018,540,508,21,.515,,,,,,25,4,1,3,15
Pittsburgh Steelers,1933,2018,619,552,21,.529,Roethlisberger,Roethlisberger,Harris,Ward,Noll,31,6,6,8,25
Pittsburgh Pirates,1933,1939,22,55,3,.286,,,,,,0,0,0,0,0
Pittsburgh Steelers,1940,1942,10,20,3,.333,,,,,,0,0,0,0,0
Phi/Pit Eagles/Steelers,1943,1943,5,4,1,.556,,,,,,0,,,,0
Chi/Pit Cards/Steelers,1944,1944,0,10,0,.000,,,,,,0,,,,0
Pittsburgh Steelers,1945,2018,582,463,14,.557,,,,,,31,6,6,8,25
San Francisco 49ers,1946,2018,566,474,16,.544,Rice,Montana,Gore,Rice,Seifert,26,5,5,6,21
Seattle Seahawks,1976,2018,334,325,1,.507,Largent,Hasselbeck,Alexander,Largent,Holmgren,16,1,1,3,11
Tampa Bay Buccaneers,1976,2018,255,404,1,.387,Brooks,Testaverde,Wilder,Carrier,Gruden,10,1,1,1,7
Tennessee Titans,1960,2018,422,456,6,.481,Matthews,Moon,George,Givins,Fisher,22,2,0,1,10
Houston Oilers,1960,1996,251,291,6,.463,,,,,,15,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,.500,,,,,,0,0,0,0,0
Tennessee Titans,1999,2018,155,149,0,.510,,,,,,7,0,0,1,4
Washington Redskins,1932,2018,593,581,28,.505,Green,Theismann,Riggins,Monk,Gibbs,24,5,3,5,16
Boston Braves,1932,1932,4,4,2,.500,,,,,,0,0,0,0,0
Boston Redskins,1933,1936,20,24,3,.455,,,,,,1,0,0,0,1
Washington Redskins,1937,2018,569,553,23,.507,,,,,,23,5,3,5,15